pid,label,tipo_item,album,descripcion,numero_stickers,formato,tipo_material_sticker,densidad,paleta_dominante,saturacion,conexion_dominante,homogeneidad,contiene_monas,contiene_IP,contiene_producto,contiene_marca
A2P1,Personajes de caricatura: popurrí de entrada,Página,Grafiti Babakid,Hoja de bienvenida a segundo álbum,40,Simple,"Brillante, Holográfico, Relieve, Pop-up, Vinilo flocado",3,Salmón,1,Personajes de caricatura,1,No,Sí,Sí,Sí
A2P4,Círculos: honguitos,Página,Grafiti Babakid,Stickers de formas circulares,49,Simple,"Brillante, Relieve, Rasca y huele",4,Negro,2,Círculos,3,No,Sí,Sí,Sí
A2P6,Gatos: mini gatitos,Página,Grafiti Babakid,Stickers de gatos. Mi prima pegó un montón de gatos chiquitos cuando era pequeña.,31,Simple,"Brillante, Holográfico, Relieve, Mate",3,Negro,1,Gatos,3,No,Sí,No,No
A1P3,Construcción y maquinaria: la obra,Página,Tuxedo Sam,"Stickers de construcción. Los pegó una amiga cuando le presté el álbum sin seguir mi indicación de distribuirlos aleatoriamente, por lo que es de las pocas páginas que conservan la unidad estética y la lógica seriada y catalográfica del libro original.",38,Doble,"Brillante, Rasca y huele",3,"Marrón, Amarillo, Gris",1,Construcción y maquinaria,3,No,Sí,No,No
A1P4,Superhéroes y supervillanos: vencimiento seguro,Página,Tuxedo Sam,"Stickers varios, con presencia de superhéroes, escudos y comida",67,Doble,"Brillante, Holográfico, Relieve, Rasca y huele, Transparente",4,"Gris, Negro, Marrón",2,Superhéroes y supervillanos,1,Sí,Sí,Sí,Sí
A1P5,Big Sur,Página,Tuxedo Sam,Un gran sticker de Big Sur es el protagonista. Se destacan también un par de tatuajes temporales.,48,Doble,"Brillante, Holográfico, Rasca y huele, Transparente, Mate, Tatuaje temporal",4,"Negro, Verde, Rojo",2,Sin conexión dominante,1,Sí,Sí,No,Sí
A1P7,Faro,Página,Tuxedo Sam,"Pagina doble de stickers grandes. Sobresalen un faro, un IPhone y un logo de Arizona Tea.",29,Doble,"Brillante, Holográfico, Metalizado, Tatuaje temporal",3,"Azul, Rojo, Beige",3,Sin conexión dominante,1,Sí,Sí,Sí,Sí
A1P8,Azul y rojo: tiburones,Página,Tuxedo Sam,Monas y tiburones. Es apartente cierta dualidad cromática.,40,Doble,"Brillante, Holográfico, Relieve, Transparente",4,"Azul, Rojo",3,Azul y rojo,2,Sí,Sí,Sí,Sí
A3P1,Círculos: RPM,Página,Mimibara,Página de círculos con uno especialmente grande de RPM,15,Simple,"Brillante, Holográfico, Metalizado, Tatuaje temporal",2,"Negro, Azul",1,Círculos,3,Sí,No,Sí,Sí
A3P6,Mundo marino: pulpo,Página,Mimibara,Página con monas y stickers con temática marina,9,Simple,"Brillante, transparente",2,"Negro, Azul, Naranja",1,Mundo marino,3,Sí,No,Sí,No